gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,old_locus_tags
BSR22_RS00095,,BSR22_RS00095,BSR22_00095,Protein Homology,10832,10999,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863223.1,chorismate-binding protein,WP_077142398.1,BSR22_00095
BSR22_RS00100,,BSR22_RS00100,BSR22_00100,Protein Homology,11060,11371,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863224.1,DUF3303 domain-containing protein,WP_011818695.1,BSR22_00100
BSR22_RS00105,,BSR22_RS00105,BSR22_00105,Protein Homology,11664,11912,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132494.1,DUF1651 domain-containing protein,WP_077142397.1,BSR22_00105
BSR22_RS09345,,BSR22_RS09345,BSR22_00110,Protein Homology,11996,12163,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805058.1,hypothetical protein,WP_198025632.1,BSR22_00110
BSR22_RS09350,,BSR22_RS09350,BSR22_RS09350,Protein Homology,12856,12999,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818700.1,hypothetical protein,WP_011818700.1,
BSR22_RS00115,,BSR22_RS00115,BSR22_00115,Protein Homology,13112,13342,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376759.1,hypothetical protein,WP_077142395.1,BSR22_00115
BSR22_RS00120,,BSR22_RS00120,BSR22_00120,Protein Homology,13345,13797,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818703.1,MauE/DoxX family redox-associated membrane protein,WP_077142394.1,BSR22_00120
BSR22_RS00125,,BSR22_RS00125,BSR22_00125,Protein Homology,13859,14377,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011133051.1,DUF411 domain-containing protein,WP_077142393.1,BSR22_00125
BSR22_RS00130,,BSR22_RS00130,BSR22_00130,Protein Homology,14483,14620,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818705.1,DUF3721 domain-containing protein,WP_025893438.1,BSR22_00130
BSR22_RS00135,,BSR22_RS00135,BSR22_00135,Protein Homology,14621,14881,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818706.1,hypothetical protein,WP_025928568.1,BSR22_00135
BSR22_RS00140,,BSR22_RS00140,BSR22_00140,Protein Homology,14918,15118,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376764.1,DUF2839 family protein,WP_025924650.1,BSR22_00140
BSR22_RS00150,,BSR22_RS00150,BSR22_00150,Protein Homology,15484,15816,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818709.1,hypothetical protein,WP_077142391.1,BSR22_00150
BSR22_RS09355,,BSR22_RS09355,BSR22_RS09355,Protein Homology,16009,16179,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818710.1,hypothetical protein,WP_198025633.1,
BSR22_RS00155,,BSR22_RS00155,BSR22_00155,Protein Homology,16369,16644,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863235.1,hypothetical protein,WP_077142390.1,BSR22_00155
BSR22_RS00160,,BSR22_RS00160,BSR22_00160,Protein Homology,17328,17570,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863237.1,DUF2839 family protein,WP_011818714.1,BSR22_00160
BSR22_RS00165,,BSR22_RS00165,BSR22_00165,Protein Homology,17546,17776,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863238.1,hypothetical protein,WP_077142389.1,BSR22_00165
BSR22_RS00170,,BSR22_RS00170,BSR22_00170,Protein Homology,17856,18053,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818716.1,hypothetical protein,WP_011818716.1,BSR22_00170
BSR22_RS00175,,BSR22_RS00175,BSR22_00175,Protein Homology,18280,19584,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818717.1,NRAMP family divalent metal transporter,WP_077142388.1,BSR22_00175
BSR22_RS00180,,BSR22_RS00180,BSR22_00180,Protein Homology,19948,20304,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376769.1,hypothetical protein,WP_077142387.1,BSR22_00180
BSR22_RS00185,,BSR22_RS00185,BSR22_00185,Protein Homology,20382,20681,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008005.1,hypothetical protein,WP_077142386.1,BSR22_00185
BSR22_RS00190,,BSR22_RS00190,BSR22_00190,Protein Homology,20697,20978,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818722.1,DUF3764 family protein,WP_077142385.1,BSR22_00190
BSR22_RS00195,,BSR22_RS00195,BSR22_00195,Protein Homology,21113,22456,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863241.1,sodium-dependent transporter,WP_077142384.1,BSR22_00195
BSR22_RS00200,,BSR22_RS00200,BSR22_00200,Protein Homology,22837,24540,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863242.1,protein adenylyltransferase SelO family protein,WP_077142383.1,BSR22_00200
BSR22_RS00205,,BSR22_RS00205,BSR22_00205,Protein Homology,24583,25005,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863243.1,cupin domain-containing protein,WP_077142382.1,BSR22_00205
BSR22_RS09360,,BSR22_RS09360,BSR22_RS09360,Protein Homology,25059,25220,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818726.1,hypothetical protein,WP_187151046.1,
BSR22_RS00210,,BSR22_RS00210,BSR22_00210,Protein Homology,25294,25476,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376775.1,hypothetical protein,WP_025935228.1,BSR22_00210
BSR22_RS00215,,BSR22_RS00215,BSR22_00215,Protein Homology,25626,25895,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376776.1,DUF1651 domain-containing protein,WP_025935229.1,BSR22_00215
BSR22_RS00220,,BSR22_RS00220,BSR22_00220,Protein Homology,26017,26313,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863247.1,heat-labile enterotoxin alpha chain,WP_077142381.1,BSR22_00220
BSR22_RS00225,,BSR22_RS00225,BSR22_00225,Protein Homology,26310,27047,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818730.1,type 1 glutamine amidotransferase,WP_083703271.1,BSR22_00225
BSR22_RS00230,,BSR22_RS00230,BSR22_00230,Protein Homology,27113,27241,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011377034.1,high light inducible protein,WP_011863249.1,BSR22_00230
BSR22_RS00235,,BSR22_RS00235,BSR22_00235,Protein Homology,27546,27752,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008010.1,high light inducible protein,WP_011376777.1,BSR22_00235
BSR22_RS00240,,BSR22_RS00240,BSR22_00240,Protein Homology,27752,28012,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807916.1,chlorophyll a/b-binding protein,WP_002805301.1,BSR22_00240
BSR22_RS00250,,BSR22_RS00250,BSR22_00250,Protein Homology,28178,28357,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376780.1,hypothetical protein,WP_077142380.1,BSR22_00250
BSR22_RS00255,,BSR22_RS00255,BSR22_00255,Protein Homology,28569,28784,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818733.1,hypothetical protein,WP_077142379.1,BSR22_00255
BSR22_RS00265,,BSR22_RS00265,BSR22_00265,Protein Homology,29148,29432,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002805236.1,cytochrome B,WP_077142377.1,BSR22_00265
BSR22_RS09225,,BSR22_RS09225,BSR22_RS09225,Protein Homology,29595,29738,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863263.1,hypothetical protein,WP_011863263.1,
ychF,ychF,BSR22_RS00270,BSR22_00270,Protein Homology,29905,30996,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807615.1,redox-regulated ATPase YchF,WP_025941865.1,BSR22_00270
BSR22_RS00275,,BSR22_RS00275,BSR22_00275,Protein Homology,31141,32202,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008017.1,efflux RND transporter periplasmic adaptor subunit,WP_025970337.1,BSR22_00275
polA,polA,BSR22_RS00280,BSR22_00280,Protein Homology,32199,35129,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807664.1,DNA polymerase I,WP_077142376.1,BSR22_00280
cysS,cysS,BSR22_RS00285,BSR22_00285,Protein Homology,35154,36623,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818741.1,cysteine--tRNA ligase,WP_077142375.1,BSR22_00285
BSR22_RS00290,,BSR22_RS00290,BSR22_00290,Protein Homology,36706,37935,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011364920.1,1-deoxy-D-xylulose-5-phosphate reductoisomerase,WP_077142374.1,BSR22_00290
BSR22_RS00295,,BSR22_RS00295,BSR22_00295,Protein Homology,37938,38279,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863270.1,(2Fe-2S) ferredoxin domain-containing protein,WP_077142373.1,BSR22_00295
BSR22_RS00300,,BSR22_RS00300,BSR22_00300,Protein Homology,38269,39357,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376789.1,YheT family hydrolase,WP_077142372.1,BSR22_00300
BSR22_RS00305,,BSR22_RS00305,BSR22_00305,Protein Homology,39338,40777,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008023.1,NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta,WP_077142371.1,BSR22_00305
BSR22_RS00310,,BSR22_RS00310,BSR22_00310,Protein Homology,40786,41079,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818746.1,NAD(P) transhydrogenase subunit alpha,WP_011863273.1,BSR22_00310
BSR22_RS00315,,BSR22_RS00315,BSR22_00315,Protein Homology,41092,42222,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818747.1,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,WP_077142370.1,BSR22_00315
BSR22_RS00320,,BSR22_RS00320,BSR22_00320,Protein Homology,42350,42928,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806052.1,EF-1 guanine nucleotide exchange domain-containing protein,WP_075438930.1,BSR22_00320
BSR22_RS00325,,BSR22_RS00325,BSR22_00325,Protein Homology,43083,43307,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807906.1,hypothetical protein,WP_077142369.1,BSR22_00325
trxB,trxB,BSR22_RS00330,BSR22_00330,Protein Homology,43387,44763,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808238.1,thioredoxin-disulfide reductase,WP_077142368.1,BSR22_00330
infA,infA,BSR22_RS00335,BSR22_00335,Protein Homology,44773,45039,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863278.1,translation initiation factor IF-1,WP_011863278.1,BSR22_00335
BSR22_RS00340,,BSR22_RS00340,BSR22_00340,Protein Homology,45132,45344,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008028.1,hypothetical protein,WP_002807551.1,BSR22_00340
BSR22_RS00345,,BSR22_RS00345,BSR22_00345,Protein Homology,45401,46363,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132785.1,NAD(P)H-binding protein,WP_025925426.1,BSR22_00345
petM,petM,BSR22_RS00350,BSR22_00350,Protein Homology,46421,46519,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132786.1,cytochrome b6-f complex subunit PetM,WP_011132786.1,BSR22_00350
BSR22_RS00355,,BSR22_RS00355,BSR22_00355,Protein Homology,46614,47555,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806340.1,alpha/beta fold hydrolase,WP_077142367.1,BSR22_00355
ilvN,ilvN,BSR22_RS00360,BSR22_00360,Protein Homology,47559,48083,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008031.1,acetolactate synthase small subunit,WP_011818754.1,BSR22_00360
BSR22_RS00365,,BSR22_RS00365,BSR22_00365,Protein Homology,48080,48685,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818755.1,peptidylprolyl isomerase,WP_077142366.1,BSR22_00365
BSR22_RS00370,,BSR22_RS00370,BSR22_00370,Protein Homology,48733,49290,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863284.1,photosystem I assembly protein Ycf4,WP_011818756.1,BSR22_00370
psbD,psbD,BSR22_RS00375,BSR22_00375,Protein Homology,49474,50550,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011127544.1,photosystem II D2 protein (photosystem q(a) protein),WP_002807316.1,BSR22_00375
psbC,psbC,BSR22_RS00380,BSR22_00380,Protein Homology,50534,51916,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474692.1,photosystem II reaction center protein CP43,WP_011818757.1,BSR22_00380
BSR22_RS00385,,BSR22_RS00385,BSR22_00385,Protein Homology,51976,52587,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863285.1,nucleoside triphosphate pyrophosphatase,WP_077142365.1,BSR22_00385
BSR22_RS00390,,BSR22_RS00390,BSR22_00390,Protein Homology,52654,54183,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863286.1,cobyric acid synthase,WP_077142364.1,BSR22_00390
BSR22_RS00395,,BSR22_RS00395,BSR22_00395,Protein Homology,54180,54434,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863287.1,2Fe-2S iron-sulfur cluster binding domain-containing protein,WP_025891049.1,BSR22_00395
BSR22_RS00405,,BSR22_RS00405,BSR22_00405,Protein Homology,55479,55673,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863289.1,hypothetical protein,WP_025881852.1,BSR22_00405
BSR22_RS00410,,BSR22_RS00410,BSR22_00410,Protein Homology,55931,56533,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807077.1,rhomboid family intramembrane serine protease,WP_077142363.1,BSR22_00410
BSR22_RS09365,,BSR22_RS09365,BSR22_RS09365,Protein Homology,56627,56785,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008039.1,hypothetical protein,WP_198025634.1,
BSR22_RS00420,,BSR22_RS00420,BSR22_00420,Protein Homology,57395,58417,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863295.1,extracellular solute-binding protein,WP_077142362.1,BSR22_00420
BSR22_RS00425,,BSR22_RS00425,BSR22_00425,Protein Homology,58520,59185,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294863.1,Fe2+-dependent dioxygenase,WP_077142361.1,BSR22_00425
BSR22_RS00430,,BSR22_RS00430,BSR22_00430,Protein Homology,59272,59511,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807918.1,hypothetical protein,WP_075506936.1,BSR22_00430
BSR22_RS00435,,BSR22_RS00435,BSR22_00435,Protein Homology,59607,60932,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376810.1,carbohydrate porin,WP_077142360.1,BSR22_00435
glyQ,glyQ,BSR22_RS00440,BSR22_00440,Protein Homology,61059,61937,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008046.1,glycine--tRNA ligase subunit alpha,WP_077142359.1,BSR22_00440
BSR22_RS00445,,BSR22_RS00445,BSR22_00445,Protein Homology,62093,62479,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818779.1,DUF1824 family protein,WP_077142358.1,BSR22_00445
BSR22_RS00450,,BSR22_RS00450,BSR22_00450,Protein Homology,62507,62839,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008048.1,phenylpyruvate tautomerase MIF-related protein,WP_077142357.1,BSR22_00450
BSR22_RS09370,,BSR22_RS09370,BSR22_RS09370,Protein Homology,62842,63012,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806550.1,hypothetical protein,WP_198025635.1,
BSR22_RS00455,,BSR22_RS00455,BSR22_00455,Protein Homology,63165,63803,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863303.1,methyltransferase domain-containing protein,WP_077142356.1,BSR22_00455
BSR22_RS00460,,BSR22_RS00460,BSR22_00460,Protein Homology,63913,64158,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474705.1,hypothetical protein,WP_002807817.1,BSR22_00460
BSR22_RS00465,,BSR22_RS00465,BSR22_00465,Protein Homology,64164,64817,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863304.1,DUF3386 domain-containing protein,WP_077142355.1,BSR22_00465
BSR22_RS00470,,BSR22_RS00470,BSR22_00470,Protein Homology,64895,65953,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002808252.1,chlorophyll a/b binding light-harvesting protein,WP_077142354.1,BSR22_00470
fldA,fldA,BSR22_RS00475,BSR22_00475,Protein Homology,66097,66621,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863306.1,flavodoxin FldA,WP_077142353.1,BSR22_00475
BSR22_RS00480,,BSR22_RS00480,BSR22_00480,Protein Homology,66763,67497,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863307.1,AhpC/TSA family protein,WP_077142352.1,BSR22_00480
BSR22_RS00485,,BSR22_RS00485,BSR22_00485,Protein Homology,67514,67771,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008052.1,SemiSWEET family sugar transporter,WP_025881879.1,BSR22_00485
BSR22_RS00490,,BSR22_RS00490,BSR22_00490,Protein Homology,67856,68080,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011376821.1,hypothetical protein,WP_077142351.1,BSR22_00490
BSR22_RS00495,,BSR22_RS00495,BSR22_00495,Protein Homology,68284,69078,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008054.1,AEC family transporter,WP_077142350.1,BSR22_00495
BSR22_RS00500,,BSR22_RS00500,BSR22_00500,Protein Homology,69164,69415,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807178.1,hypothetical protein,WP_025928619.1,BSR22_00500
BSR22_RS00505,,BSR22_RS00505,BSR22_00505,Protein Homology,69412,71217,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008056.1,ArnT family glycosyltransferase,WP_077142349.1,BSR22_00505
BSR22_RS00510,,BSR22_RS00510,BSR22_00510,Protein Homology,71223,72299,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818793.1,glycosyltransferase family 4 protein,WP_077142348.1,BSR22_00510
BSR22_RS00515,,BSR22_RS00515,BSR22_00515,Protein Homology,72328,73269,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807131.1,DMT family transporter,WP_077142347.1,BSR22_00515
sppA,sppA,BSR22_RS00520,BSR22_00520,Protein Homology,73321,74130,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_002807939.1,signal peptide peptidase SppA,WP_077142346.1,BSR22_00520
aroH,aroH,BSR22_RS00525,BSR22_00525,Protein Homology,74137,74520,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008060.1,chorismate mutase,WP_083703270.1,BSR22_00525
BSR22_RS00530,,BSR22_RS00530,BSR22_00530,Protein Homology,74591,75169,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863316.1,DUF2808 domain-containing protein,WP_077142345.1,BSR22_00530
rpmH,rpmH,BSR22_RS00535,BSR22_00535,Protein Homology,75200,75337,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011128745.1,50S ribosomal protein L34,WP_002808184.1,BSR22_00535
BSR22_RS00540,,BSR22_RS00540,BSR22_00540,Protein Homology,75350,75736,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863317.1,ribonuclease P protein component,WP_077142344.1,BSR22_00540
BSR22_RS00545,,BSR22_RS00545,BSR22_00545,Protein Homology,75733,76146,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008062.1,PH domain-containing protein,WP_025938576.1,BSR22_00545
yidC,yidC,BSR22_RS00550,BSR22_00550,Protein Homology,76219,77361,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011132820.1,membrane protein insertase YidC,WP_077142343.1,BSR22_00550
BSR22_RS00555,,BSR22_RS00555,BSR22_00555,Protein Homology,77377,78843,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863320.1,AAA family ATPase,WP_077142342.1,BSR22_00555
serS,serS,BSR22_RS00560,BSR22_00560,Protein Homology,78966,80243,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008065.1,serine--tRNA ligase,WP_077142341.1,BSR22_00560
rseP,rseP,BSR22_RS00565,BSR22_00565,Protein Homology,80253,81332,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863322.1,RIP metalloprotease RseP,WP_077142340.1,BSR22_00565
rpsN,rpsN,BSR22_RS00570,BSR22_00570,Protein Homology,81397,81699,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011824226.1,30S ribosomal protein S14,WP_025894796.1,BSR22_00570
BSR22_RS00575,,BSR22_RS00575,BSR22_00575,Protein Homology,81869,84034,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011825274.1,polyribonucleotide nucleotidyltransferase,WP_077142339.1,BSR22_00575
BSR22_RS00580,,BSR22_RS00580,BSR22_00580,Protein Homology,84038,84940,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011818806.1,3'(2')%2C5'-bisphosphate nucleotidase CysQ,WP_077142338.1,BSR22_00580
rsmI,rsmI,BSR22_RS00585,BSR22_00585,Protein Homology,84944,85807,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008070.1,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,WP_077142337.1,BSR22_00585
BSR22_RS00590,,BSR22_RS00590,BSR22_00590,Protein Homology,85833,86051,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012008071.1,hypothetical protein,WP_077142336.1,BSR22_00590
BSR22_RS00595,,BSR22_RS00595,BSR22_00595,Protein Homology,86059,86742,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_002806735.1,hypothetical protein,WP_077142335.1,BSR22_00595
BSR22_RS00605,,BSR22_RS00605,BSR22_00605,GeneMarkS-2+,86967,88124,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_077142334.1,BSR22_00605
BSR22_RS00610,,BSR22_RS00610,BSR22_00610,Protein Homology,88236,89633,+,,,COORDINATES: protein motif:HMM:NF012744.6,glycosyltransferase,WP_077142333.1,BSR22_00610
BSR22_RS00615,,BSR22_RS00615,BSR22_00615,Protein Homology,89704,91527,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011294043.1,ATP-binding cassette domain-containing protein,WP_077142332.1,BSR22_00615
BSR22_RS00620,,BSR22_RS00620,BSR22_00620,Protein Homology,91814,92869,+,,,COORDINATES: protein motif:HMM:NF016800.6,O-antigen ligase family protein,WP_198025636.1,BSR22_00620
BSR22_RS00625,,BSR22_RS00625,BSR22_00625,Protein Homology,92871,95255,+,,,COORDINATES: protein motif:HMM:NF024629.6,glycosyltransferase family 39 protein,WP_077142331.1,BSR22_00625
BSR22_RS00630,,BSR22_RS00630,BSR22_00630,Protein Homology,95310,96473,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_019474453.1,glycosyltransferase,WP_077142330.1,BSR22_00630
BSR22_RS00635,,BSR22_RS00635,BSR22_00635,Protein Homology,96553,97173,+,,,COORDINATES: protein motif:HMM:NF014453.6,sugar transferase,WP_077142329.1,BSR22_00635
BSR22_RS00640,,BSR22_RS00640,BSR22_00640,Protein Homology,97376,98815,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006851626.1,nucleotide sugar dehydrogenase,WP_077142328.1,BSR22_00640
gmd,gmd,BSR22_RS00645,BSR22_00645,Protein Homology,99009,100121,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011863376.1,GDP-mannose 4%2C6-dehydratase,WP_077142327.1,BSR22_00645
