Gene id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
A9601_02711,2.69,2.34,3.04,1.3,0.38,0.64,0.84
A9601_02761,30.96,32.79,29.13,0.89,-0.17,0.35,0.59
A9601_02811,6.16,6.74,5.57,0.83,-0.28,0.65,0.84
A9601_02821,6.73,7.33,6.13,0.84,-0.26,0.47,0.7
A9601_02871,94.57,97.21,91.92,0.95,-0.08,0.46,0.7
A9601_02891,79.6,63.93,95.27,1.49,0.58,0,0
A9601_02901,267.12,240.49,293.75,1.22,0.29,0.01,0.05
A9601_02911,21.45,21.94,20.95,0.95,-0.07,0.93,1
A9601_02951,164.56,202.32,126.81,0.63,-0.67,0,0
A9601_02961,0.75,0.81,0.69,0.85,-0.24,0.77,0.93
A9601_02971,29.62,29.57,29.67,1,0,1,1
A9601_02991,4.07,5.23,2.9,0.55,-0.85,0.09,0.24
A9601_03001,4.81,5,4.62,0.93,-0.11,0.89,0.99
A9601_03011,9.47,9.74,9.19,0.94,-0.08,0.88,0.99
A9601_03021,9.88,7.21,12.54,1.74,0.8,0.03,0.09
A9601_03031,50.04,25.21,74.86,2.97,1.57,0,0
A9601_03061,5.6,5.99,5.2,0.87,-0.2,0.69,0.87
A9601_03091,8.6,7.66,9.54,1.24,0.32,0.46,0.7
A9601_03121,33.93,42,25.87,0.62,-0.7,0,0
A9601_03131,18.92,21.9,15.93,0.73,-0.46,0.07,0.19
A9601_03141,33.62,26.58,40.67,1.53,0.61,0,0.02
A9601_03191,61.76,65.25,58.27,0.89,-0.16,0.37,0.62
A9601_03241,52.14,51.64,52.64,1.02,0.03,0.99,1
A9601_03251,24.37,21.05,27.68,1.32,0.4,0.09,0.24
A9601_03261,10.59,11.17,10.01,0.9,-0.16,0.76,0.92
A9601_03281,1.85,2.47,1.23,0.5,-1,0.33,0.58
A9601_03311,13.58,17.6,9.57,0.54,-0.88,0,0.02
A9601_03321,22.08,20.02,24.14,1.21,0.27,0.27,0.51
A9601_03331,12.69,11.7,13.68,1.17,0.23,0.42,0.67
A9601_03461,6.7,5.54,7.86,1.42,0.5,0.21,0.43
A9601_03471,11.2,11.46,10.95,0.96,-0.07,0.81,0.95
A9601_03481,80.92,90.88,70.96,0.78,-0.36,0.02,0.08
A9601_03511,193.15,188.89,197.41,1.05,0.06,0.54,0.76
A9601_03521,4469.81,3856.2,5083.42,1.32,0.4,0.01,0.03
A9601_03531,17717.57,14797.9,20637.23,1.39,0.48,0,0
A9601_03561,2.8,3.66,1.93,0.53,-0.92,0.36,0.61
A9601_03571,13.29,9.75,16.83,1.73,0.79,0,0.02
A9601_03581,21.74,15.87,27.61,1.74,0.8,0.04,0.12
A9601_03591,9.45,5.67,13.23,2.33,1.22,0,0.01
A9601_03601,1.05,1.72,0.38,0.22,-2.17,0.11,0.28
A9601_03611,3.63,4.4,2.86,0.65,-0.62,0.4,0.65
A9601_03621,29.12,45.17,13.07,0.29,-1.79,0,0
A9601_03631,4.82,8.43,1.2,0.14,-2.81,0,0
A9601_03641,4.67,3.51,5.83,1.66,0.73,0.18,0.38
A9601_03651,19.09,9.55,28.63,3,1.58,0,0
A9601_03661,7.68,9.14,6.22,0.68,-0.56,0.13,0.3
A9601_03671,22.68,13.94,31.42,2.25,1.17,0,0
A9601_03681,8.8,7.32,10.27,1.4,0.49,0.26,0.49
A9601_03691,130.95,158.07,103.83,0.66,-0.61,0,0
A9601_03701,104.3,131.92,76.68,0.58,-0.78,0,0
A9601_03711,51.12,16.38,85.86,5.24,2.39,0,0
A9601_03721,11.69,3.08,20.3,6.6,2.72,0,0
A9601_03731,2.78,1.77,3.78,2.13,1.09,0.11,0.28
A9601_03741,4.26,5.64,2.88,0.51,-0.97,0.09,0.23
A9601_03751,2.96,2.82,3.1,1.1,0.14,0.62,0.82
A9601_03761,10.41,9.88,10.94,1.11,0.15,0.69,0.88
A9601_03781,0.07,0.15,0,0,#NAME?,1,1
A9601_03791,1.27,0.94,1.59,1.68,0.75,0.34,0.59
A9601_03801,0.06,0.12,0,0,#NAME?,1,1
A9601_03811,6.89,4.43,9.34,2.11,1.07,0.02,0.06
A9601_03821,6.98,8.08,5.87,0.73,-0.46,0.2,0.41
A9601_03831,9.55,4.38,14.72,3.36,1.75,0,0
A9601_03841,162.71,124.56,200.86,1.61,0.69,0,0
A9601_03851,1.35,1.05,1.65,1.57,0.65,0.6,0.81
A9601_03861,0.39,0.12,0.67,5.72,2.52,0.38,0.62
A9601_03871,0,0,0,NA,NA,NA,NA
A9601_03881,6.1,7.58,4.61,0.61,-0.72,0.09,0.24
A9601_03891,3.54,3.15,3.93,1.25,0.32,0.75,0.91
A9601_03901,5.14,4.6,5.68,1.23,0.3,0.57,0.79
A9601_03911,15.99,20.03,11.95,0.6,-0.75,0.01,0.05
A9601_03921,0.9,0.5,1.3,2.63,1.4,0.45,0.69
A9601_03931,4.39,4.23,4.55,1.07,0.1,1,1
A9601_03941,4.29,3.74,4.84,1.29,0.37,0.69,0.88
A9601_03961,2.5,3.72,1.27,0.34,-1.55,0.03,0.09
A9601_03971,1.16,2.32,0,0,#NAME?,0,0.01
A9601_03981,3.34,3.69,2.99,0.81,-0.31,0.77,0.93
A9601_03991,2.83,3.1,2.57,0.83,-0.27,0.78,0.93
A9601_04001,1.82,1.33,2.31,1.73,0.79,0.3,0.54
A9601_04011,11.43,15.28,7.58,0.5,-1.01,0,0.01
A9601_04021,4.36,6.06,2.67,0.44,-1.18,0.06,0.18
A9601_04031,4.81,5.27,4.36,0.83,-0.27,0.7,0.88
A9601_04041,2.99,2.37,3.61,1.52,0.61,0.31,0.55
A9601_04051,0.86,0.53,1.19,2.24,1.16,0.61,0.81
A9601_04061,10.11,10.96,9.26,0.84,-0.24,0.4,0.65
A9601_04071,3.36,2.48,4.23,1.71,0.77,0.17,0.36
A9601_04081,0.62,0.37,0.88,2.35,1.23,0.61,0.81
A9601_04091,0.96,0.14,1.78,13.04,3.71,0.03,0.1
A9601_04101,0.79,0.27,1.32,4.96,2.31,0.12,0.29
A9601_04111,4.02,5.01,3.04,0.61,-0.72,0.19,0.4
A9601_04121,2.56,1.62,3.5,2.16,1.11,0.13,0.3
A9601_04131,0.46,0.14,0.78,5.69,2.51,0.37,0.61
A9601_04141,0.8,0.52,1.08,2.07,1.05,0.31,0.55
A9601_04151,0.4,0,0.8,Inf,Inf,0.47,0.7
A9601_04161,8.11,5.91,10.31,1.74,0.8,0.05,0.15
A9601_04171,17.51,5.44,29.57,5.43,2.44,0,0
A9601_04181,19.12,11.8,26.43,2.24,1.16,0,0
A9601_04191,16.58,4.26,28.89,6.78,2.76,0,0
A9601_04201,17.54,3.8,31.28,8.24,3.04,0,0
A9601_04211,10.71,1.17,20.25,17.27,4.11,0,0
A9601_04221,0.94,0.43,1.45,3.39,1.76,0.21,0.43
A9601_04231,3.69,3.84,3.55,0.93,-0.11,0.65,0.84
A9601_04241,1.7,1.83,1.58,0.86,-0.21,1,1
A9601_04251,176.15,158.93,193.36,1.22,0.28,0.5,0.72
A9601_04261,18.58,14.31,22.86,1.6,0.68,0.02,0.08
A9601_04281,27.37,24.7,30.05,1.22,0.28,0.26,0.49
A9601_04291,4.12,5.27,2.96,0.56,-0.83,0.23,0.45
A9601_04301,15.54,15.14,15.93,1.05,0.07,0.99,1
A9601_04311,1.61,1.64,1.57,0.96,-0.06,0.99,1
A9601_04321,2.4,1.84,2.96,1.6,0.68,0.37,0.62
A9601_04341,11.03,8.55,13.52,1.58,0.66,0.04,0.13
A9601_04351,19.32,17.21,21.42,1.24,0.32,0.17,0.37
A9601_04361,38.86,38.95,38.78,1,-0.01,0.89,0.99
A9601_04371,12.27,12.71,11.84,0.93,-0.1,1,1
A9601_04411,7.28,6.88,7.68,1.12,0.16,0.45,0.69
A9601_04441,21.13,23.97,18.29,0.76,-0.39,0.12,0.29
A9601_04451,4.44,5,3.88,0.78,-0.36,0.64,0.83
A9601_04461,252.58,295.39,209.78,0.71,-0.49,0,0
A9601_04481,15.16,15.99,14.32,0.9,-0.16,0.74,0.91
A9601_04541,57.92,59.63,56.21,0.94,-0.09,0.57,0.79
A9601_04571,811.92,877.69,746.14,0.85,-0.23,0.09,0.24
A9601_04581,8,3.18,12.83,4.04,2.01,0,0
A9601_04611,5.06,5.93,4.19,0.71,-0.5,0.4,0.65
A9601_04621,3.57,3.79,3.36,0.89,-0.17,0.72,0.89
A9601_04641,6.07,5.15,6.99,1.36,0.44,0.22,0.43
A9601_04651,7.23,7.53,6.94,0.92,-0.12,0.63,0.83
A9601_04661,24.69,28.44,20.95,0.74,-0.44,0.07,0.19
A9601_04671,2069.88,1730.69,2409.08,1.39,0.48,0,0
A9601_04681,27.96,35.91,20.02,0.56,-0.84,0,0.01
A9601_04691,57.87,71.7,44.04,0.61,-0.7,0,0
A9601_04731,12.65,10.4,14.91,1.43,0.52,0.24,0.47
A9601_04741,10.25,11.73,8.78,0.75,-0.42,0.27,0.5
A9601_04751,2.77,2.17,3.36,1.55,0.63,0.31,0.55
A9601_04761,1.69,1.2,2.18,1.82,0.86,0.2,0.42
A9601_04771,1.06,0.5,1.61,3.21,1.68,0.14,0.33
A9601_04781,2.58,1.84,3.32,1.81,0.85,0.24,0.47
A9601_04791,13.56,20.64,6.48,0.31,-1.67,0,0
A9601_04801,2.04,3.36,0.71,0.21,-2.24,0.01,0.04
A9601_04841,34.04,44.47,23.61,0.53,-0.91,0,0
A9601_04871,4.91,5.72,4.11,0.72,-0.48,0.3,0.54
A9601_04921,2.57,2.11,3.03,1.44,0.52,0.64,0.83
A9601_04931,9.26,8.63,9.89,1.15,0.2,0.76,0.92
A9601_04951,3.68,2.24,5.11,2.29,1.19,0.17,0.37
A9601_04961,15.56,12.48,18.63,1.49,0.58,0.06,0.17
A9601_04981,4.66,4.35,4.96,1.14,0.19,1,1
A9601_05051,36.59,35.34,37.84,1.07,0.1,0.67,0.86
A9601_05061,57.53,51.78,63.29,1.22,0.29,0.27,0.5
A9601_05081,19.51,18.37,20.64,1.12,0.17,0.81,0.95
A9601_05091,38.28,42.71,33.84,0.79,-0.34,0.1,0.25
A9601_05111,11.95,8.62,15.28,1.77,0.83,0.01,0.04
A9601_05141,7.12,5.98,8.27,1.38,0.47,0.13,0.31
A9601_05191,4.1,4.32,3.88,0.9,-0.15,1,1
A9601_05211,74.92,95.53,54.3,0.57,-0.82,0,0
A9601_05221,18.77,18.75,18.8,1,0,0.91,1
A9601_05261,12.59,17.88,7.31,0.41,-1.29,0,0
A9601_05291,115.93,113.25,118.6,1.05,0.07,0.38,0.63
A9601_05311,9.21,9.78,8.64,0.88,-0.18,0.59,0.8
A9601_05331,8.24,6.63,9.85,1.49,0.57,0.18,0.38
A9601_05351,35.48,37.03,33.93,0.92,-0.13,0.72,0.89
A9601_05361,13.2,12.2,14.2,1.16,0.22,0.46,0.7
A9601_05371,5.49,5.07,5.91,1.17,0.22,0.69,0.88
A9601_05411,7.77,7.58,7.95,1.05,0.07,0.86,0.97
A9601_05421,11.11,7.99,14.23,1.78,0.83,0.01,0.06
A9601_05431,22.08,15.54,28.63,1.84,0.88,0.01,0.04
A9601_05441,6.3,5.05,7.54,1.49,0.58,0.21,0.43
A9601_05461,24.81,28.67,20.94,0.73,-0.45,0.04,0.14
A9601_05481,7.69,7.69,7.7,1,0,1,1
A9601_05491,20.61,14.57,26.65,1.83,0.87,0,0
A9601_05511,78.98,102.24,55.72,0.55,-0.88,0,0
A9601_05531,554.11,536.9,571.32,1.06,0.09,0.57,0.79
A9601_05551,12.48,12.37,12.58,1.02,0.02,0.86,0.97
A9601_05571,39.91,42.06,37.76,0.9,-0.16,0.43,0.67
A9601_05581,25.92,32.5,19.33,0.59,-0.75,0.01,0.03
A9601_05591,81.18,104.88,57.47,0.55,-0.87,0,0
A9601_05621,13.92,9.24,18.6,2.01,1.01,0,0.01
A9601_05661,9.66,8.38,10.95,1.31,0.39,0.29,0.52
A9601_05671,56.51,55.2,57.82,1.05,0.07,0.79,0.94
A9601_05681,18.41,16.95,19.86,1.17,0.23,0.34,0.59
A9601_05701,20.16,17.28,23.04,1.33,0.41,0.11,0.26
A9601_05721,9.88,9.42,10.34,1.1,0.13,0.91,1
A9601_05731,0.74,0.8,0.68,0.85,-0.24,1,1
A9601_05741,19.98,17.21,22.75,1.32,0.4,0.07,0.19
A9601_05801,12.84,10.23,15.46,1.51,0.6,0.1,0.25
A9601_05831,3.17,2.97,3.37,1.13,0.18,0.53,0.75
A9601_05841,4.6,3.12,6.08,1.95,0.96,0.06,0.17
A9601_05851,24.06,23.99,24.14,1.01,0.01,1,1
A9601_05871,22.26,21.04,23.48,1.12,0.16,0.5,0.73
A9601_05881,172.87,190.39,155.34,0.82,-0.29,0.02,0.07
A9601_05891,59.51,61.19,57.83,0.95,-0.08,0.67,0.86
A9601_05911,17.02,13.63,20.4,1.5,0.58,0.02,0.09
A9601_05941,9.39,10.38,8.4,0.81,-0.3,0.45,0.69
A9601_05971,17.12,22.59,11.65,0.52,-0.96,0,0
A9601_05981,114.18,133.6,94.77,0.71,-0.5,0,0
A9601_06021,66.72,84.83,48.6,0.57,-0.8,0,0.01
A9601_06031,38.31,20.54,56.08,2.73,1.45,0,0
A9601_06041,25.76,14.65,36.87,2.52,1.33,0,0
A9601_06101,24.22,23.19,25.26,1.09,0.12,0.66,0.85
A9601_06111,18.3,19.7,16.9,0.86,-0.22,0.34,0.59
A9601_06121,7.66,8.19,7.12,0.87,-0.2,0.56,0.78
A9601_06131,24.61,25.25,23.97,0.95,-0.07,1,1
A9601_06151,8.7,5.82,11.58,1.99,0.99,0,0.02
A9601_06171,30.97,25.12,36.82,1.47,0.55,0.01,0.05
A9601_06181,6.57,6.85,6.29,0.92,-0.12,1,1
A9601_06191,0.97,0.69,1.24,1.79,0.84,0.61,0.81
A9601_06201,2.96,2.81,3.11,1.11,0.15,0.81,0.95
A9601_06221,17.42,12.79,22.06,1.73,0.79,0.01,0.05
A9601_06251,7.9,5.79,10.01,1.73,0.79,0.05,0.16
A9601_06261,15.06,14.62,15.51,1.06,0.09,0.81,0.95
A9601_06271,3.02,2.71,3.32,1.22,0.29,0.71,0.88
A9601_06291,34.13,44.06,24.21,0.55,-0.86,0,0
A9601_06301,1.25,1.39,1.1,0.79,-0.33,0.97,1
A9601_06311,2.75,2.97,2.52,0.85,-0.24,0.67,0.85
A9601_06321,10.83,14.24,7.43,0.52,-0.94,0.01,0.03
A9601_06331,92.28,122.42,62.14,0.51,-0.98,0,0
A9601_06351,9.37,7.99,10.75,1.35,0.43,0.2,0.41
A9601_06381,13.01,13.9,12.11,0.87,-0.2,0.66,0.85
A9601_06411,25.12,19.25,30.99,1.61,0.69,0,0.01
A9601_06421,2.67,2.8,2.54,0.91,-0.14,0.96,1
A9601_06431,10.75,12.15,9.36,0.77,-0.38,0.23,0.45
A9601_06441,0.4,0.35,0.45,1.28,0.35,1,1
A9601_06451,24.65,24.33,24.98,1.03,0.04,0.86,0.98
A9601_06481,6.04,4.45,7.63,1.71,0.78,0.06,0.17
A9601_06501,57.63,42.29,72.98,1.73,0.79,0,0
A9601_06551,24.43,25.85,23,0.89,-0.17,0.46,0.7
A9601_06561,86.44,111.51,61.36,0.55,-0.86,0,0
A9601_06571,35.49,37.34,33.65,0.9,-0.15,0.41,0.66
A9601_06581,17.78,18.55,17.01,0.92,-0.13,0.81,0.95
A9601_06591,14.83,13.35,16.31,1.22,0.29,0.29,0.53
A9601_06601,35.42,22.64,48.19,2.13,1.09,0,0
A9601_06611,28.79,28.1,29.49,1.05,0.07,0.87,0.98
A9601_06621,10.6,10.5,10.7,1.02,0.03,1,1
A9601_06681,6.74,5.49,7.99,1.46,0.54,0.28,0.52
A9601_06701,31.83,28.51,35.14,1.23,0.3,0.08,0.22
A9601_06711,47.87,33.72,62.03,1.84,0.88,0,0
A9601_06761,5.37,5.38,5.36,1,-0.01,0.96,1
A9601_06781,20.94,26.79,15.09,0.56,-0.83,0,0.01
A9601_06801,0.19,0.24,0.14,0.58,-0.79,1,1
A9601_06811,0.38,0.12,0.64,5.48,2.45,0.6,0.81
A9601_06821,11.29,14.82,7.75,0.52,-0.94,0,0.02
A9601_06831,12268.41,12792.01,11744.81,0.92,-0.12,0.46,0.69
A9601_06841,14.08,13.19,14.98,1.14,0.18,0.59,0.8
A9601_06851,7.88,8.13,7.62,0.94,-0.09,0.71,0.88
A9601_06861,5.41,5.38,5.43,1.01,0.01,1,1
A9601_06871,6.6,7.01,6.19,0.88,-0.18,0.86,0.98
A9601_06881,2.98,2.16,3.81,1.76,0.82,0.16,0.35
A9601_06891,16.27,21.03,11.5,0.55,-0.87,0,0.01
A9601_06901,4.56,4.77,4.35,0.91,-0.13,1,1
A9601_06931,33.69,34.51,32.87,0.95,-0.07,0.87,0.98
A9601_06941,13.41,11.69,15.12,1.29,0.37,0.13,0.3
A9601_06961,10.6,12.36,8.83,0.71,-0.49,0.08,0.22
A9601_06971,60.78,61.82,59.74,0.97,-0.05,0.59,0.8
A9601_07001,75.19,90.63,59.75,0.66,-0.6,0,0
A9601_07011,8.92,5.19,12.65,2.44,1.28,0,0.01
