refseq_locus,log2fc_2h,padj_2h,log2fc_4h,padj_4h
TX50_RS03830,-0.7714265,0.23265069,0.78555527,0.10753563
TX50_RS03835,-0.4845483,0.79937964,-1.4123619,0.48974487
TX50_RS03840,0.21526728,0.67222316,-0.1487891,0.73688585
TX50_RS03845,0.97756951,0.06016052,2.38209392,2.33147111655179e-10
TX50_RS03850,1.31035994,0.48865421,0.81417418,0.58406259
TX50_RS03855,-0.6972579,0.00466586,-1.0094187,3.05684698011593e-07
TX50_RS03860,0.82327781,0.00677182,0.7722273,8.72858731593552e-05
TX50_RS03865,0.53086194,0.01021006,0.71563927,4.18076991746324e-06
TX50_RS03870,-0.6825815,0.00344626,-0.5878476,0.00471217
TX50_RS03875,0.59382071,0.00217842,1.12117118,4.70707482833912e-16
TX50_RS03880,1.53774935,2.09789446598134e-09,2.54492665,6.2053395965607e-73
TX50_RS03885,0.00188582,0.99665367,0.343519,0.23389083
TX50_RS03890,-0.5860749,0.00249055,-0.7483941,8.4964812061103e-06
TX50_RS03895,-1.1690332,0.0004319,-1.0177748,0.00149518
TX50_RS03900,-0.4420636,0.15461675,-0.6940823,0.0040036
TX50_RS03905,0.11904387,0.76423867,-1.2520015,4.30205418051415e-07
TX50_RS03910,1.81211491,0.00011049,2.20347073,3.16336757542353e-20
TX50_RS03915,-0.0822924,0.8090253,0.20951965,0.38241633
TX50_RS03920,1.46753386,3.89478066925625e-08,1.65707338,5.13414127480292e-16
TX50_RS03925,0.67546399,0.14793156,0.39982219,0.29768443
TX50_RS03935,0.46493421,0.10901137,0.58665097,0.01381908
TX50_RS03940,0.34761237,0.69976524,0.28339819,0.71216036
TX50_RS03945,0.86174144,4.81561054668222e-05,1.14908332,3.23646931653623e-07
TX50_RS03950,0.9207896,0.00180461,1.30814521,4.39493697153447e-07
TX50_RS03955,0.67082731,0.0405317,-0.028218,0.94165838
TX50_RS03965,-0.6673366,0.05277264,-0.769004,0.00364833
TX50_RS03970,-0.1978493,0.58728931,-0.6218673,0.00054581
TX50_RS03975,-0.2240546,0.43712147,-0.6704319,1.52703074037474e-07
TX50_RS03980,-0.7488917,0.00289392,-0.713159,3.26942237146693e-08
TX50_RS03985,-0.8795239,1.29014436727229e-05,-0.8488248,2.55489492368384e-13
TX50_RS03990,-0.1155674,0.74695617,-0.1105816,0.69301839
TX50_RS03995,0.58594024,0.01522258,0.62978505,3.83180511177777e-05
TX50_RS04000,0.79645321,4.48384262145872e-06,0.912496,1.38749833252026e-09
TX50_RS04005,-0.4161167,0.05390368,-0.1799033,0.2766983
TX50_RS04010,-0.7533655,0.00276473,-0.6115941,0.00037761
TX50_RS04015,-1.0945601,4.20807344669912e-10,-1.3370482,5.33296014343638e-19
TX50_RS04020,-0.167722,0.43934488,-0.1407357,0.40718675
TX50_RS04025,-0.6605993,8.05526013118034e-05,-0.7668135,1.59678978056628e-08
TX50_RS04030,0.26897241,0.14337968,0.3957161,0.00321188
TX50_RS04035,-0.3880812,0.06868122,-0.5271752,0.00341596
TX50_RS04040,-0.6823209,0.00304424,-0.6812954,0.00026815
TX50_RS04045,0.08124042,0.76951449,-0.151601,0.54293231
TX50_RS04050,-0.5231808,0.09059432,-0.5104441,0.03894906
TX50_RS04055,-0.3642617,0.09940699,-0.0760206,0.583224
TX50_RS04060,0.14118212,0.47603832,-0.2807366,0.06440272
TX50_RS04065,0.31966286,0.1104442,0.25331922,0.08085698
TX50_RS04070,-0.1052741,0.74641938,-0.1342924,0.61461284
TX50_RS04075,-0.025096,0.90223041,-0.1278922,0.30107721
TX50_RS04080,0.27751641,0.32320398,-0.1000764,0.7051016
TX50_RS04085,0.30705004,0.40462613,0.18696669,0.61931919
TX50_RS04090,-0.3495426,0.11926786,-0.7639642,4.78575708173155e-11
TX50_RS04095,-0.1927519,0.44172218,-0.1936388,0.15670903
TX50_RS04100,0.18818671,0.59072283,-0.3920599,0.02279195
TX50_RS04105,-0.8731285,1.27902879541826e-05,-1.402134,1.36430702873007e-20
TX50_RS04110,-0.0316468,0.8740152,-0.0891347,0.53039325
TX50_RS04115,-1.3259536,0.01593177,-0.2939459,0.11931582
TX50_RS04120,-0.676263,0.07934965,-1.1991189,0.00044632
TX50_RS04125,-0.6137093,0.1008257,-1.1227421,5.68901281530903e-07
TX50_RS04130,-0.0680532,0.90666166,0.46723042,0.12292101
TX50_RS04135,-0.6134957,0.0280793,-0.785519,2.85005708638614e-09
TX50_RS04140,1.22014007,0.0001377,2.37196289,4.48799529254653e-19
TX50_RS04145,0.97679036,7.50655107990842e-05,0.80588721,0.0003868
TX50_RS04150,0.65812845,0.00068366,0.97951043,7.50717657043668e-15
TX50_RS04155,-0.0760634,0.72750087,-0.0172384,0.91612553
TX50_RS04160,1.33602438,0.00036286,0.87402845,0.00386212
TX50_RS04165,-0.4865425,0.04639539,-0.5691538,0.00553437
TX50_RS04170,-0.6847209,0.00522432,-1.0193085,1.38563067400298e-17
TX50_RS04175,-0.2458018,0.31310737,-0.4007907,0.01814124
TX50_RS04180,0.33466194,0.40527894,-0.5850154,0.00489964
TX50_RS04185,0.95881398,0.00071642,0.61412643,2.30541977130767e-05
TX50_RS04190,0.49077534,0.06868122,-0.0590275,0.78967427
TX50_RS04195,0.14795348,0.57970392,-0.0799753,0.68473484
TX50_RS04200,0.03001026,0.92547837,-0.1228206,0.62757622
TX50_RS04205,-0.2422358,0.39785516,-0.255446,0.31148493
TX50_RS04210,-0.2137585,0.71063176,0.29617731,0.34982148
TX50_RS04215,2.05368417,3.82868054911926e-24,2.5390844,7.8727565162281e-76
TX50_RS04220,1.55168928,1.9539661249632e-13,1.94754297,5.06341513599084e-26
TX50_RS04225,0.36738818,0.10738538,0.37630096,0.04117783
TX50_RS04230,0.23401981,0.37936853,0.5756058,0.00410154
TX50_RS04235,0.65497573,0.00019826,0.99823724,6.16190242365291e-13
TX50_RS04240,2.12815782,5.31714362314409e-22,3.04609201,2.69142672014388e-144
TX50_RS04245,0.41558604,0.06260412,0.32086348,0.05233229
TX50_RS04250,1.03465775,7.65862003363762e-07,1.00656497,2.66716117242046e-09
TX50_RS04255,0.26395753,0.58460456,0.76948349,0.01948566
TX50_RS04260,0.72870688,0.0068495,0.48774498,0.00110112
TX50_RS04265,0.60490919,0.01044298,0.64359791,0.00018576
TX50_RS04270,0.3253877,0.18952685,0.04367021,0.80688601
TX50_RS04275,-0.2837668,0.22757354,-0.0290949,0.89128859
TX50_RS04280,0.56807586,0.08593257,0.38687108,0.03763538
TX50_RS04285,3.0527993,1.28542583726686e-25,4.1700878,2.45751120581851e-233
TX50_RS04290,-0.4085814,0.71072788,1.52151687,2.03883819025724e-15
TX50_RS04295,-1.4841667,0.00173685,-0.2029467,0.2267277
TX50_RS04305,1.25971951,4.49181554912263e-07,1.43847311,6.59904828139403e-20
TX50_RS04310,1.077767,0.00661556,0.7127529,4.21030025250898e-07
TX50_RS04315,0.67400771,0.09484123,0.36239995,0.24198188
TX50_RS04320,0.69976781,0.32780133,-0.2523152,0.69606216
TX50_RS04325,-1.382943,7.6547427955495e-08,-1.9829586,1.04346054423167e-17
TX50_RS04330,1.25407479,1.32447204994448e-09,1.54596125,2.0676287329085e-20
TX50_RS04335,1.32755457,0.00152024,1.71759544,2.07616994752311e-07
TX50_RS04340,0.69427671,0.00982359,1.4759056,2.98222761134186e-11
TX50_RS04345,0.10901923,0.77623884,-1.0454713,3.73208473694041e-10
TX50_RS04350,-0.7371622,0.00055188,-0.9702381,4.90169364119813e-09
TX50_RS04355,-1.7258535,1.0692300430171e-14,-1.0686948,2.11645152854547e-05
TX50_RS04360,-1.6791081,0.00022274,-0.1756474,0.69884361
TX50_RS04370,-0.759653,0.11280573,0.6855844,0.17838948
TX50_RS04375,-0.4718443,0.34357825,0.95231563,0.06158134
TX50_RS04380,0.17683645,0.76216286,1.66994162,2.75424046344622e-08
TX50_RS04385,1.36242508,4.29115988509532e-05,2.48123593,9.77936576721139e-76
TX50_RS04390,1.49860142,0.00455025,1.44399319,0.00116973
TX50_RS04395,-0.1228005,0.84841044,0.83938768,0.29768443
TX50_RS04400,-0.6513192,0.0072757,-0.5346732,0.00243922
TX50_RS04405,-1.0287711,0.00029143,-0.48154,0.06220986
TX50_RS04410,-0.4405436,0.12339959,0.02817953,0.90760909
TX50_RS04415,-0.2799702,0.16354781,-0.4043842,0.00907028
TX50_RS04420,-0.5480123,0.02692638,-0.36319,0.00413928
TX50_RS04425,0.67415244,0.0038175,1.18709443,1.50888884209634e-08
TX50_RS04430,0.97490757,5.44812055557876e-08,0.99186467,1.5721666902515e-14
TX50_RS04435,-0.1814336,0.49718661,-0.2920661,0.15968192
TX50_RS04440,0.7892329,0.02487194,0.65927229,2.02190920521051e-06
TX50_RS04445,-0.5526897,0.11092343,-0.960229,6.79326835397478e-10
TX50_RS04450,-0.4693852,0.09086299,-0.9430873,3.63835766819145e-11
TX50_RS04455,-0.6585222,0.00151261,-0.1505492,0.44708718
TX50_RS04460,-0.4857268,0.08878368,-0.9097954,0.0004986
TX50_RS04465,0.06025566,0.820944,-0.0688329,0.75364387
TX50_RS04470,0.67878843,0.10629512,0.50321728,0.14717031
TX50_RS04475,-0.820266,0.00017636,-0.9549772,9.85532725697511e-07
TX50_RS04480,-1.0420553,0.00023387,-1.2995007,1.62955233359232e-06
TX50_RS04490,-0.8346469,1.41524573011059e-06,-0.6722944,3.05575055218828e-07
TX50_RS04495,1.08972357,7.35048019913772e-10,1.54870585,1.32163037545297e-29
TX50_RS04500,-0.575541,0.0331982,-0.3759093,0.15560255
TX50_RS04505,-0.884468,5.01432068535927e-06,-1.1780628,3.24712774471218e-18
TX50_RS04510,-0.3942387,0.06510845,-0.3849691,0.01294454
TX50_RS04515,1.21698617,3.42104347983421e-08,0.93738481,6.32424364630387e-10
TX50_RS04520,0.39741571,0.09207079,0.45622787,0.00501135
TX50_RS04525,-0.0450196,0.89518527,-0.093136,0.75391191
TX50_RS04530,1.56985226,1.24056135250355e-14,1.99732664,1.90443520188709e-43
TX50_RS04535,-0.1825315,0.53520432,-0.1023765,0.68052436
TX50_RS04540,-1.1948792,6.37910694925214e-05,-1.0112981,0.00010373
TX50_RS04545,-0.5392752,0.01189735,-0.5804184,0.00320979
TX50_RS04550,1.1089646,5.25178335083575e-09,0.86825821,2.29197454134427e-12
TX50_RS04555,1.61290687,8.18394838649112e-22,1.44684271,2.43283537121672e-21
TX50_RS04560,2.55516944,6.39028756368873e-46,2.84128887,3.46334929389239e-103
TX50_RS04565,-0.3459651,0.05332841,-0.3026431,0.05480951
TX50_RS04575,0.33443263,0.12755543,0.51533317,2.6996591711465e-05
TX50_RS04580,-0.3881751,0.11142149,-0.6708769,0.00816826
TX50_RS04585,0.58848708,0.15501587,1.35029841,1.29834855397884e-07
TX50_RS04590,0.83721969,0.05559305,1.77803205,2.50682991858144e-05
TX50_RS04595,0.44230385,0.33608924,0.87033754,0.01505144
TX50_RS04600,0.0490258,0.90540078,0.28266023,0.36197111
TX50_RS04605,1.19291061,3.12590345853479e-15,2.35619131,5.61007428765719e-05
TX50_RS04610,0.10441912,0.69413168,0.31907111,0.17294567
TX50_RS04615,0.48481306,0.11280573,0.2486531,0.28801896
TX50_RS04620,0.38139575,0.0847443,0.09664514,0.6433566
TX50_RS04625,1.1445486,1.08039243201487e-07,1.16818051,1.56643331846601e-12
TX50_RS04630,-0.7266458,0.00373104,-0.5040941,0.0171297
TX50_RS04635,0.16215099,0.54538915,0.24161599,0.27674267
TX50_RS04640,0.07137242,0.76423867,0.30096838,0.01304828
TX50_RS04645,-1.056728,0.00062088,-0.9977837,1.17584980267268e-08
TX50_RS04650,0.86748166,5.4628287748677e-06,0.60046744,0.00182244
TX50_RS04655,1.40223766,1.69467755661483e-10,1.44738985,1.60054272498808e-27
TX50_RS04660,-0.6236544,0.00012659,-0.6596571,5.11560409624403e-08
TX50_RS04665,0.11356219,0.60735354,0.01335219,0.91653856
TX50_RS04670,0.17329526,0.64564419,0.21492024,0.37923164
TX50_RS04675,-1.0956599,0.00191345,-1.3231307,2.92336581169576e-06
TX50_RS04680,0.49676214,0.10178256,0.77289991,0.00063616
TX50_RS04685,0.9342331,0.00600105,0.72165864,0.00079522
TX50_RS04690,0.28726482,0.06781142,0.20848582,0.06133108
TX50_RS04695,1.48089643,4.47919647082424e-17,1.63481182,1.23392607430603e-34
TX50_RS04700,-0.3501006,0.17132979,-0.0628963,0.68952445
TX50_RS04705,-0.1082828,0.70859018,-0.1273252,0.57123411
TX50_RS04710,0.3282014,0.21494489,0.42789908,0.01953693
TX50_RS04715,-0.071838,0.78719393,0.20419913,0.14070432
TX50_RS04720,1.23346309,1.14520767501143e-15,1.39187587,9.55599504946392e-30
TX50_RS04725,1.24217925,0.00023552,1.02625678,3.05776700073221e-12
TX50_RS04730,-0.1735975,0.54494183,0.06166789,0.77835827
TX50_RS04735,-0.5153578,0.21220368,-0.7820828,0.06448404
TX50_RS04740,-0.327251,0.13440965,-0.3154641,0.09123027
TX50_RS04745,0.43757466,0.03718348,0.47616632,0.00183911
TX50_RS04750,-0.887421,0.00058489,-0.7943706,2.09528071642762e-08
TX50_RS04755,-0.2905347,0.12824009,-0.587527,3.25221965194379e-05
TX50_RS04760,0.00379298,0.99079634,0.55836307,0.06843388
TX50_RS04765,-0.0937879,0.7274009,0.514905,0.00124383
TX50_RS04770,0.49096556,0.0016667,0.50213106,1.62615716869114e-05
TX50_RS04775,0.63748033,0.00587201,0.3671608,0.00557018
TX50_RS04780,-0.212313,0.58703487,0.04941384,0.89128859
TX50_RS04785,-0.115189,0.74641938,0.52989077,0.00160093
TX50_RS04790,-0.1113198,0.61921009,0.09077684,0.49978723
TX50_RS04795,0.96728424,0.01544521,1.82934385,1.75175698562343e-09
TX50_RS04800,0.55600749,0.01888047,0.9690339,6.70705473224408e-07
TX50_RS04805,0.38386956,0.08878368,0.44511772,0.00173225
TX50_RS04810,-0.1191505,0.6325521,-0.0254416,0.9005761
TX50_RS04815,0.20460496,0.4080713,1.09251899,6.1780216231574e-21
TX50_RS04820,0.88228669,1.01954976398361e-08,1.27480475,5.89954937106812e-25
TX50_RS04825,-0.5252486,0.0131107,-0.5264044,0.00296441
TX50_RS04830,-0.4933341,0.21244024,-1.7222046,5.03883547700092e-05
TX50_RS04835,-1.6558739,0.00749847,-1.8281415,0.00528969
TX50_RS04840,1.88512623,4.64123387661523e-13,1.79816051,2.47234139154066e-22
TX50_RS04845,0.56113044,0.00532499,0.25256897,0.03771678
TX50_RS04850,-0.0301481,0.89558607,0.19298576,0.24112538
TX50_RS04855,0.68152956,0.01276841,1.20759517,3.764518489504e-11
TX50_RS04860,1.15094814,4.24903877300395e-14,1.3682374,1.89290872954458e-26
TX50_RS04865,0.64191339,0.01620741,0.2056381,0.36702773
TX50_RS04870,0.65307354,6.15850597930936e-05,0.68946151,2.85478787479781e-08
TX50_RS04875,0.24906567,0.17576856,0.31144202,0.02944247
TX50_RS04880,0.55585201,0.02739589,0.35689905,0.06739071
TX50_RS04885,-0.3780382,0.57934695,-0.0618158,0.90570514
TX50_RS04890,0.12165351,0.70228702,0.10096812,0.56155124
TX50_RS04895,-0.549644,0.0152113,-0.8824993,4.86538489026507e-08
TX50_RS04900,-0.7325607,0.00096711,-1.2258534,2.61203611558244e-11
TX50_RS04905,0.0298777,0.91932273,-0.1844412,0.13523503
TX50_RS04910,0.4474324,0.25059095,1.10213906,1.73043819333817e-21
TX50_RS04915,-1.6896818,2.90676201917904e-17,-2.0001915,2.54824573026465e-46
TX50_RS04920,0.32571669,0.2155392,0.07295793,0.68473484
TX50_RS04925,0.92787327,6.81749584105166e-06,0.51331869,0.00478838
TX50_RS04930,0.59251948,0.00500196,0.33854544,0.0540846
TX50_RS04935,0.22807559,0.55516441,0.62053211,0.00508135
TX50_RS04940,0.2295131,0.34120303,0.00541832,0.9822841
TX50_RS04945,0.00490634,0.98260439,0.54410826,0.00022995
TX50_RS04950,-0.2442604,0.32988047,-0.4927144,0.00360464
TX50_RS04955,0.75048892,0.00119519,0.37288594,0.01485612
TX50_RS04960,1.28282672,2.21101337515141e-14,1.32828675,1.12148354475987e-21
TX50_RS04965,0.36106996,0.27418336,0.49693043,0.04848265
TX50_RS04970,0.85696208,0.00073764,0.86325982,4.07940324890563e-07
TX50_RS04975,0.24827621,0.29469426,0.31279875,0.1022443
TX50_RS04980,1.2342384,1.10366122058368e-06,1.70721835,1.27812266810548e-21
TX50_RS04985,-0.3640191,0.51212479,-0.1788798,0.66810029
TX50_RS04990,1.60248172,5.97474167458659e-06,2.45913883,1.5007340439592e-47
TX50_RS04995,0.54402219,0.04162781,0.88155426,5.8776784858831e-09
TX50_RS05000,-0.096593,0.82074424,0.71730257,0.00849343
TX50_RS05005,-0.1083614,0.79385019,0.60527037,0.00076541
TX50_RS05010,0.07784905,0.82509367,0.10690519,0.62813535
TX50_RS05015,1.77971395,2.708507339836e-28,2.11331408,2.77286849240526e-52
TX50_RS05020,1.28125531,1.7762488581307e-13,1.16716233,9.85069246384545e-20
TX50_RS05025,1.38166249,2.8172866669532e-15,1.5940089,2.7607201615726e-45
TX50_RS05030,0.40517665,0.01398503,0.041072,0.8183977
TX50_RS05035,-0.7591677,0.00959237,-0.4751153,4.81583805494469e-05
TX50_RS05040,-0.8773328,6.93795177141454e-06,-1.2542751,7.19531118457597e-27
TX50_RS05045,0.72521838,0.00440132,0.7841883,1.46183686878362e-05
TX50_RS05050,-0.1372001,0.6325521,0.20617784,0.34079254
TX50_RS05055,0.211032,0.5900013,0.30044083,0.38171478
TX50_RS05060,-0.1081693,0.74015457,0.05324693,0.83734615
TX50_RS05065,-0.4876607,0.08878368,-0.2126485,0.25224229
TX50_RS05070,0.94094205,0.00253914,0.82510879,0.00229285
TX50_RS05075,-0.5409053,0.0112527,-0.3762042,0.04707558
TX50_RS05080,0.1119826,0.65979725,0.02543972,0.9005761
TX50_RS05085,0.03400738,0.95295905,0.75534965,0.14324002
TX50_RS05090,-0.5057116,0.10792893,-0.2075719,0.5618166
TX50_RS05095,0.33941649,0.32532746,0.6470654,2.12804334546355e-05
TX50_RS05100,0.92936686,0.00106975,1.20408747,4.79102238611421e-06
TX50_RS05105,-0.1596981,0.49632587,-0.5388876,0.01237691
TX50_RS05110,0.09192315,0.71808082,0.06129561,0.73688585
TX50_RS05115,-0.3797692,0.15181541,0.01085103,0.95391329
TX50_RS05120,-0.5717403,0.01399518,-0.7700608,5.98334228616992e-08
TX50_RS05125,-0.6916044,0.00223727,-0.8376319,3.31685707647673e-07
TX50_RS05130,-0.8386653,0.00276283,-1.2361441,8.4964812061103e-06
TX50_RS05135,-0.8550179,0.00079693,-1.0395778,1.48155590355542e-06
TX50_RS05140,-0.0965726,0.76904764,0.45157032,0.02902176
TX50_RS05145,-0.0834952,0.85957484,0.184001,0.64081542
TX50_RS05150,0.84477329,0.01592248,0.90641033,0.0040663
TX50_RS05155,-0.1024744,0.76902383,0.10697657,0.74027334
TX50_RS05160,-1.5330063,0.00015144,-0.3951764,0.00092308
TX50_RS05165,-0.8363871,0.00332216,0.12288823,0.51589018
TX50_RS05170,-0.2786135,0.18487214,-0.0056174,0.98229447
TX50_RS05175,-0.2409489,0.48358766,-0.2143557,0.57702384
TX50_RS05180,0.3893751,0.26937862,1.12952805,2.26803650086441e-10
TX50_RS05185,-0.9471455,0.01659898,-0.023872,0.95146043
TX50_RS05190,-1.2560433,0.00143361,-0.9216372,0.00046095
TX50_RS05195,-0.2742961,0.41080319,-0.5203354,0.05451852
TX50_RS05200,-0.9824468,4.05300204285704e-05,-1.0364086,1.65905433755204e-07
TX50_RS05205,0.94483849,2.01139216462579e-05,1.09028809,1.52527016727678e-11
TX50_RS05210,-1.3845467,0.00393733,-0.1804149,0.73116914
TX50_RS05215,0.21309037,0.5900013,0.50692844,0.11903903
TX50_RS05220,-0.1456592,0.63899478,-0.2249136,0.34048917
TX50_RS05225,0.28895244,0.17751673,0.49023404,0.00092566
TX50_RS05230,0.48681438,0.05821572,0.53780107,0.00016111
TX50_RS05235,1.6612835,3.54254445015401e-05,1.74874998,2.4529434905232e-22
TX50_RS05240,-1.5285461,1.34940222109695e-08,-1.6271752,9.23908023879623e-14
TX50_RS05245,1.45662043,3.61953825554328e-06,2.55798445,1.06379418246198e-30
TX50_RS05250,1.88474705,8.92301860656602e-05,2.2853913,2.15111011591924e-08
TX50_RS05255,0.44686038,0.30973635,1.03183035,0.00208182
TX50_RS05260,0.2118758,0.48525472,0.7005934,0.00381375
TX50_RS05265,0.50753685,0.00393733,0.83503433,7.36930747348354e-08
TX50_RS05270,1.62202164,1.05038008989282e-22,1.89237982,3.4062485699252e-74
TX50_RS05275,0.58079296,0.43388223,0.33341326,0.63011672
TX50_RS05280,-0.0696144,0.85523383,0.50193935,0.0596807
TX50_RS05285,0.32730114,0.4690669,-0.3102233,0.45644109
TX50_RS05295,0.93083376,9.49224574940403e-07,0.89596856,5.23898147881035e-05
TX50_RS05300,2.00387745,4.84800339095372e-16,2.17239213,2.53345683733261e-35
TX50_RS05305,0.26374975,0.56131658,0.13404875,0.70988733
TX50_RS05315,-1.1113698,0.00165864,-1.3326847,4.81688590242909e-13
TX50_RS05320,-0.1580454,0.39228962,0.00428734,0.98197782
TX50_RS05325,-0.1894732,0.5201903,-0.0431499,0.83833605
TX50_RS05330,-1.0692632,2.88838041520987e-06,-0.8120346,3.6638166967809e-07
TX50_RS05335,-0.7472943,0.01310611,-0.9025573,0.00029817
TX50_RS05340,-1.1061434,0.00014454,-0.9286264,1.34362777419004e-06
TX50_RS05350,0.95636858,5.47693297274822e-05,1.09244326,1.88424200081195e-20
TX50_RS05360,1.41610491,0.00041649,1.56673079,2.13548976544074e-06
TX50_RS05365,0.65222596,0.06331711,0.33689664,0.171073
TX50_RS05370,0.17852145,0.42659341,0.08620512,0.59451851
TX50_RS05380,-0.739006,0.00164915,-1.008523,1.52542903931781e-06
TX50_RS05385,0.47099967,0.03118461,0.31697255,0.13703794
TX50_RS05390,-1.5073687,1.96223001022428e-06,-1.3758233,1.00733233837603e-11
TX50_RS05395,1.08107357,2.45028993818606e-06,1.54895237,6.42691802367373e-19
TX50_RS05400,0.55940779,0.14599841,0.24288657,0.35514745
TX50_RS05405,1.21628829,0.01020524,0.76208935,0.00028945
TX50_RS05415,1.36963819,0.00012361,2.07287227,2.79870858252815e-10
TX50_RS05420,-1.4361643,0.1137846,-0.5616691,0.40800396
TX50_RS05425,0.63532373,0.32532746,1.19358212,0.01689697
TX50_RS05430,-0.6445781,0.02174356,-0.6554846,0.00673773
TX50_RS05435,-1.4713521,1.59540682682824e-12,-1.6809661,7.71781320830896e-19
TX50_RS05445,-1.0586344,0.0022751,0.04771195,0.90622021
TX50_RS05450,0.00468171,0.99004921,-0.3072184,0.31743957
TX50_RS05455,1.58192072,4.18811650808206e-05,1.18204226,0.00099825
TX50_RS05460,-1.2621049,0.02402866,-1.8045494,0.00028609
TX50_RS05465,0.86997464,0.00921508,0.90287947,0.00058342
TX50_RS05470,0.07218258,0.90326748,-0.4082448,0.34812582
TX50_RS05475,0.19572264,0.46413001,0.73041644,1.07577639019654e-05
TX50_RS05480,-0.4233647,0.1472074,-0.6833669,1.49965448758968e-05
TX50_RS05485,-0.2071846,0.65979725,-0.2908201,0.32210378
TX50_RS05490,-0.7035336,0.19717288,-0.5259377,0.32942596
TX50_RS05495,-0.3943373,0.68487794,-0.0556294,0.96561952
TX50_RS05500,-0.537531,0.29586568,-0.9713367,0.02607546
TX50_RS05505,0.20916409,0.67530913,-0.2289593,0.59429797
TX50_RS05510,0.50517526,0.18019069,0.87600456,0.0463888
TX50_RS05520,-1.729513,3.96512667161647e-08,-1.9805528,9.18262435749494e-12
TX50_RS05525,-0.0839632,0.75411687,0.98685547,1.55850217080482e-05
TX50_RS05530,2.53789775,1.36505603423313e-12,2.43803948,2.97809288680491e-21
TX50_RS05535,-0.4089982,0.0482979,-0.6042377,0.00049463
TX50_RS05540,0.13942034,0.49943763,0.24795787,0.09737728
TX50_RS05545,-0.3161238,0.10425541,-0.0998945,0.50928866
TX50_RS05550,-2.0935381,3.90306586527868e-05,-1.3508239,4.88434781872217e-19
TX50_RS05555,-0.5053594,0.02402866,-0.3611581,0.00512587
TX50_RS05560,1.07247457,1.26437514320848e-05,1.54826994,6.04812059122776e-31
TX50_RS05565,1.12966584,0.01051219,0.70084698,0.09864967
TX50_RS05575,0.7351655,0.30924802,0.43536763,0.44126772
TX50_RS05580,1.06583249,2.52261765180031e-05,1.55634419,1.78791836332587e-18
TX50_RS05585,0.92922924,9.33034519800596e-05,1.36124792,6.0745809610706e-11
TX50_RS05590,0.04774438,0.85889909,0.51544134,0.00421083
TX50_RS05595,0.54221854,0.05127032,0.6492222,0.00160093
TX50_RS05600,0.28990797,0.37282603,0.10677698,0.50065699
TX50_RS05605,-0.0553099,0.92128723,-1.9786132,0.00260327
TX50_RS05615,0.08780235,0.83911816,0.28390093,0.45632451
TX50_RS05620,2.12873826,2.73324304206641e-24,2.41904145,2.22291640539378e-45
TX50_RS05625,-0.1726488,0.49614653,-0.1180587,0.61774813
TX50_RS05630,0.13054529,0.66972957,0.0415339,0.84216872
TX50_RS05635,0.14027881,0.59034536,0.54056075,0.01050178
TX50_RS05640,-0.4171122,0.14024861,-0.0623936,0.79769331
TX50_RS05645,-0.1598553,0.62075998,0.14587256,0.50899138
TX50_RS05650,0.18427127,0.39095916,0.33392026,0.01611437
TX50_RS05655,-0.8814224,0.0070644,-0.0872505,0.76211355
TX50_RS05660,2.02246899,7.12192879606749e-10,2.17169476,2.44799786662027e-36
TX50_RS05665,0.20339778,0.53501663,0.36783879,0.07276328
TX50_RS05670,0.24822286,0.22162974,0.20243296,0.18576927
TX50_RS05675,0.00511305,0.98600435,0.26085006,0.2398602
TX50_RS05680,-0.6624469,0.00769682,-0.2814395,0.31873194
TX50_RS05685,0.96308954,0.02992594,0.6971966,0.09009512
TX50_RS05690,0.4806904,0.13869145,0.68138475,0.00208182
TX50_RS05695,0.74934053,8.94363463485034e-05,1.19337676,1.40095750097052e-13
TX50_RS05700,0.67407753,8.28574313468208e-06,1.07570155,2.66437397000049e-25
TX50_RS05705,-0.3576575,0.24328716,-0.4250093,0.00508135
TX50_RS05710,-0.9011734,0.00709136,-0.6000821,2.079505249064e-06
TX50_RS05715,-0.5148572,0.04071117,-0.4620217,0.00426456
TX50_RS05720,-0.4939353,0.01184909,-0.2930711,0.09123027
TX50_RS05725,0.72299847,0.00086994,1.51118641,9.70052968195078e-38
TX50_RS05730,-0.4635573,0.01862691,-0.5593711,0.00031195
TX50_RS05735,-0.985078,2.24854455679662e-08,-1.5461777,5.89954937106812e-25
TX50_RS05740,0.97440832,2.48847263687507e-07,0.81227278,1.58676817938676e-09
TX50_RS05745,0.1639528,0.42189815,-0.0317859,0.85913109
TX50_RS05750,-0.2587433,0.25655576,-0.4622474,0.00785695
TX50_RS05755,-0.9899954,4.62926133964308e-05,-0.6180146,0.00168635
TX50_RS05760,-0.9284067,0.00481737,-0.5594249,7.54913390819477e-05
TX50_RS05765,-0.9241468,0.00516376,-0.5147606,0.00026849
TX50_RS05770,0.59122259,0.0009847,0.48989144,3.58885532612819e-05
TX50_RS05775,-0.7427788,0.01896165,-1.2154366,2.76175073310717e-08
TX50_RS05780,-1.8571513,3.01372804122107e-06,-1.2692871,0.00034017
TX50_RS05785,-0.2690057,0.13080294,-0.3756554,0.00152431
TX50_RS05790,-0.5830994,0.10893388,-0.5907093,0.02774666
TX50_RS05795,-0.0138439,0.95497704,-0.4369549,0.00268646
TX50_RS05800,0.60679663,0.00125699,0.81012325,1.46243776367263e-13
TX50_RS05805,-0.3255876,0.19169624,-0.066212,0.66548802
